animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA1-DG,113.0,0.8235,0.7989,44.0,18000,0.17,3,0.0356,-0.0207,0,0.2651,0.3791,0.2996,0.2292,43.56,26.05,34.83,20.17,0.3333,1.0,40.98,30.04,42.34,66.74
28,1,CA1-DG,118.0,0.8603,0.7434,49.0,16000,0.1873,2,0.0297,-0.0217,0,0.2764,0.3279,0.3109,0.227,33.64,21.24,31.32,29.32,0.6,0.6,53.48,29.99,27.97,42.08
28,1,CA1-DG,123.0,0.8971,0.7314,54.0,14000,0.5078,3,0.2558,-0.0601,0,0.3648,0.4988,0.3588,0.3243,53.66,56.84,74.89,86.86,0.6,0.6,63.09,29.75,71.68,23.74
28,1,CA1-DG,128.0,0.9338,0.6867,59.0,14000,-0.0756,4,0.0935,-0.0467,0,0.3101,0.3844,0.3106,0.2437,44.28,40.15,47.63,21.23,0.7778,0.6,71.82,46.79,83.52,54.63
28,1,CA1-V1,8.0,0.0515,0.0162,-61.0,16000,0.1219,0,0.0,-0.0154,0,0.3518,0.461,0.1976,0.2071,nan,nan,nan,nan,,,86.8,83.95,65.43,50.49
28,1,CA1-V1,13.0,0.0882,0.0162,-56.0,16000,0.1822,1,0.0169,-0.0431,-4,0.2899,0.4782,0.1851,0.2169,76.57,61.25,49.11,35.72,0.3333,0.3846,79.12,74.05,46.95,32.5
28,1,CA1-V1,18.0,0.125,0.0833,-51.0,14000,0.0985,0,0.0,-0.028,-5,0.3236,0.4342,0.1515,0.1852,88.34,83.03,39.01,20.28,0.7778,0.3846,86.06,76.43,74.63,38.2
28,1,CA1-V1,23.0,0.1618,0.1389,-46.0,12000,0.0447,0,0.0,-0.0101,-1,0.2933,0.4301,0.162,0.1895,84.52,75.79,33.38,30.38,0.7778,0.3846,86.95,89.84,63.52,34.21
28,1,CA1-V1,28.0,0.1985,0.2667,-41.0,12000,0.0962,0,0.0,-0.0012,0,0.264,0.4193,0.1721,0.1987,86.08,84.34,37.59,29.62,0.6,0.5,79.62,86.84,68.19,43.32
28,1,CA1-V1,33.0,0.2353,0.27,-36.0,14000,0.1596,1,0.0129,-0.0251,-2,0.2445,0.411,0.1831,0.1632,67.79,88.05,47.58,47.49,0.7778,0.44,83.32,85.14,63.76,53.8
28,1,CA1-V1,38.0,0.2721,0.3182,-31.0,12000,0.2096,1,0.0225,-0.01,0,0.2507,0.3881,0.1608,0.1706,81.88,82.64,31.29,39.46,0.6,0.44,68.57,81.74,50.61,55.85
28,1,CA1-V1,43.0,0.3088,0.3746,-26.0,14000,0.1337,0,0.0,-0.0165,-3,0.218,0.3856,0.1358,0.1813,65.22,77.94,41.51,32.84,0.4545,0.3846,82.79,89.96,87.37,63.36
28,1,CA1-V1,48.0,0.3456,0.3465,-21.0,14000,0.1197,0,0.0,0.0059,0,0.1686,0.3499,0.1441,0.1586,57.18,70.49,36.65,28.77,0.4545,0.44,81.02,78.41,82.33,44.07
28,1,CA1-V1,53.0,0.3824,0.3593,-16.0,14000,0.0979,0,0.0,-0.0165,-3,0.1882,0.3819,0.1549,0.1549,81.42,88.5,51.63,45.28,0.3333,0.2857,80.99,81.53,86.48,52.01
28,1,CA1-V1,58.0,0.4191,0.3158,-11.0,14000,0.0985,0,0.0,0.0345,1,0.1653,0.3737,0.1219,0.1448,79.03,87.98,42.01,41.46,0.4545,0.44,75.6,89.61,81.8,63.77
28,1,CA1-V1,63.0,0.4559,0.3796,-6.0,14000,0.1011,0,0.0,-0.0192,-4,0.2012,0.3679,0.1253,0.1201,75.68,79.26,58.12,48.0,0.6,0.2857,84.43,73.49,73.78,51.12
28,1,CA1-V1,68.0,0.4926,0.476,-1.0,14000,0.0771,0,0.0,0.0113,3,0.1407,0.3496,0.1128,0.1505,82.87,65.34,35.42,38.19,0.4545,0.2857,88.67,79.1,65.5,57.17
28,1,CA1-V1,73.0,0.5294,0.5182,4.0,14000,0.1745,1,0.0155,-0.0257,0,0.1962,0.3719,0.1228,0.1223,66.73,65.36,55.09,43.01,0.4545,0.2857,80.98,86.59,41.7,42.57
28,1,CA1-V1,78.0,0.5662,0.6613,9.0,14000,0.1432,0,0.0,0.0142,2,0.1809,0.3276,0.1274,0.1545,72.52,89.13,75.95,52.18,0.7778,0.5,86.19,81.88,79.79,71.82
28,1,CA1-V1,83.0,0.6029,0.7651,14.0,16000,0.242,5,0.0958,-0.0013,-5,0.7573,0.3401,0.1426,0.1301,82.54,64.69,75.95,48.17,0.6,0.3333,71.1,80.68,70.16,49.24
28,1,CA1-V1,88.0,0.6397,0.9155,19.0,14000,0.114,0,0.0,0.0205,2,0.1576,0.3085,0.1243,0.1561,89.86,61.81,60.48,24.27,0.3333,0.5,81.11,79.32,37.78,49.69
28,1,CA1-V1,93.0,0.6765,0.9833,24.0,14000,0.1068,0,0.0,0.0033,3,0.1844,0.3252,0.1304,0.1477,77.18,79.25,34.74,36.34,0.6,0.3846,75.42,88.15,66.94,55.31
28,1,CA1-V1,98.0,0.7132,1.0,29.0,14000,0.1231,0,0.0,-0.0027,-3,0.2079,0.3514,0.1196,0.1381,55.36,86.08,38.75,39.41,0.6,0.3846,72.26,82.93,46.16,54.74
28,1,CA1-V1,103.0,0.75,0.9333,34.0,14000,0.2661,6,0.121,-0.0372,-5,0.2634,0.3495,0.1267,0.1484,84.87,78.38,33.77,39.41,0.7778,0.2857,69.39,85.68,69.29,81.66
28,1,CA1-V1,108.0,0.7868,0.8565,39.0,14000,0.1606,0,0.0,0.0162,0,0.2728,0.3165,0.1285,0.1425,77.18,76.12,47.83,31.94,0.7778,0.44,69.97,83.74,45.16,45.31
28,1,CA1-V1,113.0,0.8235,0.7989,44.0,18000,0.0613,0,0.0,-0.0116,0,0.2423,0.3645,0.1017,0.1272,85.27,80.91,83.56,48.09,0.4545,0.2,76.49,80.27,69.79,58.64
28,1,CA1-V1,118.0,0.8603,0.7434,49.0,16000,0.0352,0,0.0,0.0012,-4,0.2425,0.3698,0.0831,0.1283,88.3,74.12,48.07,53.26,0.4545,0.44,85.0,81.7,72.75,85.63
28,1,CA1-V1,123.0,0.8971,0.7314,54.0,14000,0.1405,3,0.079,-0.0295,-4,0.3262,0.3413,0.1407,0.1339,82.77,88.62,56.57,60.48,0.7778,0.2,72.69,74.07,50.54,43.33
28,1,CA1-V1,128.0,0.9338,0.6867,59.0,14000,0.2185,10,0.1766,0.0367,0,0.2919,0.3451,0.1081,0.1291,86.33,83.83,55.56,47.34,0.7778,0.2414,88.82,81.85,89.36,58.57
28,1,CA3-DG,8.0,0.0515,0.0162,-61.0,16000,0.4498,2,0.117,-0.0176,0,0.6591,0.203,0.7093,0.4758,nan,nan,nan,nan,,,89.19,30.45,65.96,9.88
28,1,CA3-DG,13.0,0.0882,0.0162,-56.0,16000,0.4505,3,0.1287,-0.0123,0,0.6489,0.2699,0.7406,0.5602,72.85,66.44,15.01,12.23,0.0,0.6,86.99,63.42,75.02,8.56
28,1,CA3-DG,18.0,0.125,0.0833,-51.0,14000,0.4636,2,0.1309,-0.0096,0,0.6619,0.2422,0.6882,0.5411,87.68,31.25,12.98,12.66,0.6,0.6,85.67,56.89,82.83,10.18
28,1,CA3-DG,23.0,0.1618,0.1389,-46.0,12000,0.238,4,0.1486,0.007,0,0.6134,0.4217,0.6609,0.4723,89.91,89.78,80.81,89.28,1.0,0.3333,89.71,22.77,86.08,26.49
28,1,CA3-DG,28.0,0.1985,0.2667,-41.0,12000,0.4225,2,0.108,-0.0008,0,0.5395,0.1785,0.6813,0.5052,81.19,89.78,76.57,89.23,0.6,0.3333,69.0,55.87,68.26,14.89
