animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
61,1,CA1-RSC,t1-5,5,2902,0.1497,0,0.0,-0.0173,1,0.4036,0.2583,73.81,86.03,89.48,86.04,0.1389,0.3594,0.2797
61,1,CA1-RSC,t1-7,7,3995,0.2475,1,0.0316,-0.0372,0,0.3952,0.2744,84.47,88.74,89.89,83.17,0.1748,0.3837,0.2852
61,1,CA1-RSC,t1-10,10,5623,0.3029,1,0.0481,-0.0183,0,0.4171,0.2683,81.71,86.49,89.13,81.16,0.2401,0.3984,0.3023
61,1,CA1-RSC,late,10,6493,0.3222,3,0.1139,0.0253,0,0.3772,0.2308,82.92,76.74,,,0.1589,0.4208,0.2484
61,1,CA1-CA3,t1-5,5,2902,0.2562,1,0.0339,-0.024,0,0.4058,0.2648,84.36,89.48,72.05,80.94,0.3368,0.3787,0.4591
61,1,CA1-CA3,t1-7,7,3995,0.2877,1,0.0432,-0.0363,0,0.3963,0.254,86.38,83.56,82.64,80.0,0.165,0.3599,0.4425
61,1,CA1-CA3,t1-10,10,5623,-0.1693,6,0.4075,-0.0377,0,0.4113,0.2395,79.83,74.13,81.53,79.02,0.3184,0.3603,0.4412
61,1,CA1-CA3,late,10,6493,0.5583,11,0.4844,0.0014,0,0.3765,0.2236,74.09,65.11,,,0.3739,0.4465,0.4682
61,1,CA1-DG,t1-5,5,2902,0.3417,1,0.0621,0.0116,0,0.4131,0.2304,80.89,86.28,84.18,82.7,0.1487,0.3493,0.5255
61,1,CA1-DG,t1-7,7,3995,0.3504,1,0.0655,-0.014,0,0.3976,0.194,75.09,87.33,85.58,85.24,0.1816,0.3417,0.4689
61,1,CA1-DG,t1-10,10,5623,0.3648,1,0.0714,-0.0227,0,0.4156,0.1952,86.27,78.99,87.38,86.98,0.2236,0.3723,0.4637
61,1,CA1-DG,late,10,6493,0.3069,1,0.0494,0.004,0,0.3793,0.2032,75.48,57.91,,,0.3001,0.387,0.5297
61,1,CA1-V1,t1-5,5,2902,0.0545,0,0.0,0.0113,-8,0.405,0.3456,82.9,85.28,89.25,89.67,0.1402,0.38,0.3384
61,1,CA1-V1,t1-7,7,3995,0.0655,0,0.0,-0.008,-8,0.3962,0.3654,83.72,89.21,83.59,89.44,0.0074,0.3718,0.3115
61,1,CA1-V1,t1-10,10,5623,0.0335,0,0.0,-0.0304,-8,0.4132,0.3625,84.29,88.88,86.8,88.43,0.0141,0.3722,0.3367
61,1,CA1-V1,late,10,6493,0.1825,0,0.0,-0.0304,0,0.379,0.2959,87.16,86.61,,,0.059,0.38,0.32
61,1,CA3-DG,t1-5,5,2902,0.3931,3,0.3007,0.0097,0,0.2658,0.2187,58.74,67.59,85.53,80.29,0.3718,0.5225,0.5113
61,1,CA3-DG,t1-7,7,3995,0.2793,4,0.2236,-0.0236,0,0.2725,0.1892,68.78,57.53,87.03,88.66,0.3234,0.4381,0.4998
61,1,CA3-DG,t1-10,10,5623,0.1903,4,0.1579,-0.0546,0,0.2325,0.9311,42.98,24.73,85.83,89.66,0.3312,0.4853,0.537
61,1,CA3-DG,late,10,6493,0.4557,4,0.3123,0.0164,0,0.2322,0.2009,80.91,77.46,,,0.4424,0.487,0.6151
61,1,V1-RSC,t1-5,5,2902,0.4745,1,0.1275,0.0392,0,0.3459,0.2598,64.79,68.8,89.68,89.18,0.465,0.3538,0.279
61,1,V1-RSC,t1-7,7,3995,0.5265,2,0.2903,0.0419,0,0.3576,0.2718,46.33,52.68,89.69,88.48,0.4304,0.3723,0.2872
61,1,V1-RSC,t1-10,10,5623,0.5457,3,0.351,0.0416,0,0.3591,0.266,42.11,55.23,86.61,84.38,0.4653,0.3673,0.307
61,1,V1-RSC,late,10,6493,0.574,6,0.6009,0.0175,0,0.3008,0.2271,50.89,58.46,,,0.479,0.3173,0.3021
63,1,CA1-RSC,t1-5,5,3049,0.236,1,0.0287,0.0501,1,0.105,0.2678,81.18,63.81,77.05,78.91,0.2335,0.3555,0.2865
63,1,CA1-RSC,t1-7,7,4252,0.182,1,0.0168,0.0543,1,0.1085,0.2705,70.52,56.12,63.33,77.81,0.131,0.3006,0.3882
63,1,CA1-RSC,t1-10,10,5995,0.2297,2,0.0433,0.0705,1,0.1075,0.2853,62.73,66.46,58.77,80.95,0.2082,0.3783,0.3444
63,1,CA1-RSC,late,10,5281,0.2295,1,0.0271,0.0426,0,0.0869,0.289,89.75,75.86,,,0.1719,0.2496,0.3141
66,1,CA1-RSC,t1-5,5,2922,0.3892,1,0.0821,-0.0117,0,0.3599,0.3095,86.05,86.11,83.79,83.52,0.1548,0.278,0.2781
66,1,CA1-RSC,t1-7,7,3996,0.3368,1,0.0602,-0.0027,0,0.3777,0.2474,70.48,39.78,85.11,87.41,0.1854,0.4189,0.407
66,1,CA1-RSC,t1-10,10,5540,0.3543,2,0.0892,-0.0024,0,0.3475,0.2267,68.08,75.36,85.59,85.13,0.2128,0.3019,0.2808
66,1,CA1-RSC,late,10,4735,0.1008,0,0.0,0.019,2,0.2228,0.1149,84.66,81.57,,,0.0387,0.3577,0.2556
66,1,CA1-DG,t1-5,5,2922,0.4254,3,0.2102,-0.002,0,0.3887,0.1515,85.15,52.83,86.24,69.18,0.4708,0.4375,0.3466
66,1,CA1-DG,t1-7,7,3996,0.4449,3,0.2243,0.0145,0,0.3805,0.1563,87.46,48.33,86.39,73.22,0.3701,0.3785,0.3007
66,1,CA1-DG,t1-10,10,5540,0.4306,3,0.2112,0.0348,0,0.4006,0.1575,79.3,43.35,86.82,80.55,0.3472,0.3658,0.321
66,1,CA1-DG,late,10,4735,0.3816,3,0.1487,0.0292,0,0.2366,0.118,72.57,55.42,,,0.3035,0.4334,0.4126
66,1,CA1-V1,t1-5,5,2922,0.2365,0,0.0,0.0239,0,0.376,0.0903,89.57,73.22,85.96,86.97,0.1914,0.4106,0.263
66,1,CA1-V1,t1-7,7,3996,0.1904,0,0.0,0.0363,0,0.3741,0.0869,87.21,76.51,80.15,87.99,0.0589,0.3355,0.248
66,1,CA1-V1,t1-10,10,5540,0.2402,1,0.0297,0.0442,0,0.3595,0.0805,85.34,63.99,84.29,87.8,-0.0133,0.3984,0.2403
66,1,CA1-V1,late,10,4735,0.2526,1,0.033,0.0268,0,0.2094,0.0833,82.46,82.53,,,0.1065,0.2704,0.2017
66,1,CA1-SUB,t1-5,5,2922,0.2809,2,0.0637,0.0021,0,0.3961,0.0486,61.2,58.73,87.72,57.2,0.0889,0.3864,0.3379
66,1,CA1-SUB,t1-7,7,3996,0.2779,2,0.0582,0.0093,0,0.3899,0.0579,82.1,47.61,82.83,60.56,0.2224,0.4187,0.2357
66,1,CA1-SUB,t1-10,10,5540,0.2744,2,0.0632,0.0035,0,0.3555,0.0661,72.83,56.8,79.89,57.23,0.1282,0.3441,0.2467
66,1,CA1-SUB,late,10,4735,0.206,1,0.0217,-0.0093,0,0.2344,0.0682,89.84,67.76,,,0.1566,0.2511,0.2203
66,1,RSC-SUB,t1-5,5,2922,0.1314,0,0.0,-0.0065,-1,0.3291,0.0514,74.73,87.51,81.41,81.26,0.1353,0.3299,0.2522
66,1,RSC-SUB,t1-7,7,3996,0.1516,1,0.0116,-0.0222,-1,0.2612,0.0607,84.77,81.79,83.16,82.26,0.1817,0.1812,0.2255
