animal,learner,pair,dim,unc_cc,cue_cc,d_cc,unc_ifi,cue_ifi,d_ifi,unc_lag,cue_lag,unc_sig,cue_sig
66,1,CA1-V1,11,-0.0047,-0.0156,-0.0109,0.0104,-0.0287,-0.0392,1,2,0,0
66,1,CA1-V1,12,-0.0084,0.0275,0.0358,-0.0008,-0.0723,-0.0715,-1,-2,0,0
66,1,CA1-V1,13,-0.0041,0.0052,0.0093,0.2411,0.0149,-0.2262,5,0,0,0
66,1,CA1-V1,14,0.011,0.0105,-0.0005,0.0457,-0.4114,-0.4571,5,-3,0,0
66,1,CA1-SUB,0,0.0504,0.0559,0.0055,0.0121,-0.017,-0.0291,0,0,0,0
66,1,CA1-SUB,1,0.0093,0.022,0.0127,-0.0222,0.0087,0.0309,-2,2,0,0
66,1,CA1-SUB,2,0.0087,0.0058,-0.0029,-0.0312,-0.0271,0.0041,-3,-2,0,0
66,1,CA1-SUB,3,0.0236,0.0063,-0.0173,-0.0036,-0.0212,-0.0176,5,-2,0,0
66,1,CA1-SUB,4,-0.0062,0.0128,0.019,-0.0267,-0.0186,0.0081,-5,-4,0,0
66,1,CA1-SUB,5,0.0059,0.0316,0.0258,0.0055,-0.0238,-0.0293,-3,0,0,0
66,1,CA1-SUB,6,-0.0134,0.0159,0.0292,0.015,-0.0376,-0.0526,4,0,0,0
66,1,CA1-SUB,7,-0.0079,0.0249,0.0328,0.0345,0.0517,0.0171,4,0,0,0
66,1,CA1-SUB,8,-0.0067,0.0044,0.0111,0.0231,0.0716,0.0485,1,3,0,0
66,1,CA1-SUB,9,0.0,0.0134,0.0134,-0.013,0.0613,0.0743,-5,0,0,0
66,1,CA1-SUB,10,-0.0149,0.0146,0.0295,-0.0616,0.006,0.0677,-3,0,0,0
66,1,CA1-SUB,11,-0.0085,0.0018,0.0103,-0.0986,0.0532,0.1517,1,2,0,0
66,1,CA1-SUB,12,0.0014,0.0066,0.0052,-0.2225,-0.1819,0.0406,-3,0,0,0
66,1,RSC-SUB,0,-0.0583,0.0343,0.0927,0.0222,-0.0124,-0.0346,1,-5,0,0
66,1,RSC-SUB,1,0.0452,-0.0018,-0.0471,0.0117,0.002,-0.0097,1,-5,0,0
66,1,RSC-SUB,2,-0.1141,-0.0033,0.1108,-0.0033,-0.0048,-0.0015,-5,-3,0,0
66,1,RSC-SUB,3,-0.0979,-0.0004,0.0976,0.0058,0.0334,0.0277,-1,5,0,0
66,1,RSC-SUB,4,0.0314,0.0193,-0.0122,0.0417,0.0411,-0.0006,3,4,0,0
66,1,RSC-SUB,5,0.0537,0.0259,-0.0278,0.023,0.0469,0.0238,1,0,0,0
66,1,RSC-SUB,6,0.0162,-0.0092,-0.0254,0.0042,0.0172,0.0129,5,1,0,0
66,1,RSC-SUB,7,-0.0824,-0.0109,0.0715,0.0553,0.0019,-0.0534,3,1,0,0
66,1,RSC-SUB,8,0.0378,0.0111,-0.0267,0.0256,-0.0444,-0.07,5,-1,0,0
66,1,RSC-SUB,9,-0.0581,0.0152,0.0732,0.0676,0.0039,-0.0637,1,-3,0,0
66,1,RSC-SUB,10,-0.0136,-0.0032,0.0104,0.0009,-0.0001,-0.001,4,-3,0,0
66,1,RSC-SUB,11,0.0808,0.0134,-0.0674,0.0666,-0.0957,-0.1623,4,5,1,0
66,1,RSC-SUB,12,0.0093,-0.0051,-0.0144,0.0495,-0.0416,-0.0911,-3,2,0,0
66,1,V1-RSC,0,-0.001,0.069,0.07,-0.0128,0.033,0.0458,0,3,0,0
66,1,V1-RSC,1,0.0578,0.0053,-0.0525,0.0345,0.0852,0.0507,2,1,0,0
66,1,V1-RSC,2,-0.1383,0.0228,0.1611,0.0213,0.0171,-0.0042,-4,3,0,0
66,1,V1-RSC,3,-0.0068,0.0115,0.0183,0.0069,0.0369,0.03,1,1,0,0
66,1,V1-RSC,4,0.0114,0.035,0.0236,-0.012,0.0235,0.0355,1,0,0,0
66,1,V1-RSC,5,0.0459,0.0175,-0.0284,0.0297,0.0638,0.0341,2,3,0,0
66,1,V1-RSC,6,-0.0451,0.014,0.0591,0.0252,0.0561,0.0309,2,3,0,0
66,1,V1-RSC,7,0.0515,-0.0068,-0.0583,-0.0092,-0.0235,-0.0143,-1,-4,0,0
66,1,V1-RSC,8,0.0464,-0.0036,-0.05,0.0197,-0.0085,-0.0283,-1,-5,0,0
66,1,V1-RSC,9,-0.1259,0.0045,0.1304,-0.0077,0.0313,0.039,-1,-4,0,0
66,1,V1-RSC,10,0.0391,0.0036,-0.0355,0.0272,0.0378,0.0106,4,-4,0,0
66,1,V1-RSC,11,-0.0429,0.0142,0.0571,-0.001,0.0488,0.0498,4,-4,0,0
66,1,V1-RSC,12,-0.0012,-0.0057,-0.0044,-0.0619,0.1055,0.1674,-1,2,0,0
66,1,V1-RSC,13,-0.0404,-0.0073,0.033,0.008,0.1004,0.0923,-1,4,0,0
66,1,V1-RSC,14,-0.0783,0.0071,0.0854,0.0638,0.1433,0.0795,-1,-2,0,0
68,1,CA1-RSC,0,0.2358,0.0607,-0.1751,0.0016,0.0841,0.0825,0,3,1,0
68,1,CA1-RSC,1,0.0099,-0.1153,-0.1252,-0.0371,0.0466,0.0837,-4,4,0,0
68,1,CA1-RSC,2,0.0114,0.0338,0.0225,-0.007,0.045,0.052,0,-3,0,0
68,1,CA1-RSC,3,0.0119,0.0151,0.0032,-0.0146,-0.0042,0.0104,-5,-3,0,0
68,1,CA1-RSC,4,0.0128,-0.0092,-0.0219,-0.0008,0.0229,0.0237,0,4,0,0
68,1,CA1-RSC,5,-0.0034,-0.006,-0.0027,-0.0429,0.0663,0.1092,0,2,0,0
68,1,CA1-RSC,6,0.0012,0.0092,0.008,-0.0142,0.0674,0.0816,-3,2,0,0
68,1,CA1-RSC,7,0.0065,-0.0051,-0.0116,0.0044,0.021,0.0166,0,-5,0,0
68,1,CA1-RSC,8,0.0029,-0.0177,-0.0206,0.0397,0.0668,0.0271,4,2,0,0
68,1,CA1-RSC,9,0.0056,0.0126,0.0071,0.0529,0.0301,-0.0228,3,2,0,0
68,1,CA1-RSC,10,0.0102,0.0268,0.0166,-0.0734,0.1023,0.1757,-3,2,0,0
68,1,CA1-CA3,0,0.3147,0.0133,-0.3015,-0.0211,0.0132,0.0343,0,0,1,0
68,1,CA1-CA3,1,0.0175,0.3527,0.3352,-0.0409,-0.0598,-0.0189,1,0,0,1
68,1,CA1-CA3,2,0.0561,0.2917,0.2356,0.0626,0.0023,-0.0603,0,0,0,1
68,1,CA1-CA3,3,0.0163,-0.2496,-0.2659,-0.033,0.0165,0.0496,0,4,0,0
68,1,CA1-CA3,4,-0.0021,0.2,0.2021,0.0257,0.0124,-0.0133,1,4,0,1
68,1,CA1-CA3,5,-0.0051,0.2539,0.259,0.0164,-0.0167,-0.0331,5,-1,0,1
68,1,CA1-CA3,6,-0.0146,0.2393,0.2539,0.04,-0.019,-0.059,1,-4,0,1
68,1,CA1-CA3,7,-0.0157,-0.172,-0.1562,0.0215,0.0053,-0.0162,5,3,0,0
68,1,CA1-CA3,8,0.0103,-0.2386,-0.2489,-0.0257,0.0113,0.0371,-1,2,0,0
68,1,CA1-DG,0,0.203,0.1235,-0.0796,-0.0548,-0.0084,0.0464,-2,0,1,1
68,1,CA1-DG,1,0.0895,0.0862,-0.0033,-0.0176,-0.0041,0.0134,0,0,1,0
68,1,CA1-DG,2,0.0235,0.0101,-0.0133,-0.0022,-0.005,-0.0028,0,-3,0,0
68,1,CA1-DG,3,0.0213,-0.0039,-0.0251,0.0197,0.0329,0.0132,2,0,0,0
68,1,CA1-DG,4,0.0253,0.005,-0.0203,0.0297,0.0352,0.0056,2,3,0,0
68,1,CA1-DG,5,-0.0018,-0.0072,-0.0054,-0.01,0.0397,0.0497,-2,0,0,0
68,1,CA1-DG,6,-0.0016,0.0163,0.0178,-0.0346,0.0017,0.0363,-1,0,0,0
68,1,CA1-DG,7,0.0069,-0.0051,-0.012,0.0251,0.0319,0.0068,4,0,0,0
68,1,CA1-DG,8,-0.0156,0.0156,0.0313,-0.0132,0.0064,0.0196,-5,-2,0,0
68,1,CA1-DG,9,0.0049,-0.0081,-0.013,0.0165,0.0244,0.0079,-5,0,0,0
68,1,CA1-DG,10,0.0029,0.0037,0.0007,0.0023,0.0438,0.0415,-5,3,0,0
68,1,CA1-DG,11,0.009,-0.0037,-0.0128,-0.0587,0.0515,0.1102,2,3,0,0
68,1,CA1-DG,12,-0.0083,0.0053,0.0136,-0.0709,0.1745,0.2455,-4,3,0,0
68,1,CA1-DG,13,-0.0001,-0.0094,-0.0093,-0.013,0.226,0.239,5,3,0,0
68,1,CA1-DG,14,-0.0082,-0.0075,0.0007,-0.1735,-0.0294,0.1441,-5,2,0,0
68,1,CA3-DG,0,0.1633,0.1464,-0.0168,-0.0108,0.0217,0.0325,0,0,1,1
68,1,CA3-DG,1,0.1528,0.0714,-0.0813,-0.0184,0.0513,0.0697,0,0,1,0
68,1,CA3-DG,2,0.012,0.0385,0.0264,-0.0032,-0.0372,-0.034,0,0,0,0
68,1,CA3-DG,3,0.0454,0.071,0.0256,0.0134,-0.0933,-0.1067,0,0,0,0
68,1,CA3-DG,4,0.0149,0.0011,-0.0137,0.0552,-0.0751,-0.1303,-2,0,0,0
68,1,CA3-DG,5,0.019,0.0242,0.0053,-0.0079,-0.0129,-0.0049,0,0,0,0
68,1,CA3-DG,6,0.0023,-0.0275,-0.0299,0.013,-0.0003,-0.0134,2,0,0,0
