animal,learner,pair,bin,area,unit,contrib
28,1,CA1-V1,1,V1,0,0.073611
28,1,CA1-V1,1,V1,1,0.95199
28,1,CA1-V1,1,V1,2,0.199898
28,1,CA1-V1,1,V1,3,0.074038
28,1,CA1-V1,1,V1,4,0.050399
28,1,CA1-V1,1,V1,5,0.129284
28,1,CA1-V1,1,V1,6,0.593988
28,1,CA1-V1,1,V1,7,0.738072
28,1,CA1-V1,1,V1,8,0.010571
28,1,CA1-V1,1,V1,9,0.858473
28,1,CA1-V1,1,V1,10,0.170525
28,1,CA1-V1,1,V1,11,0.306476
28,1,CA1-V1,1,V1,12,0.772495
28,1,CA1-V1,1,V1,13,0.120573
28,1,CA1-V1,1,V1,14,0.843412
28,1,CA1-V1,1,V1,15,0.823326
